城市名 区/显 电影院名字 电影院主页url
安福 安福县中心城区 安福县影剧院 https://maoyan.com/cinema/13529?poi=50001312
安福 安福县中心城区 星世纪影城 https://maoyan.com/cinema/9183?poi=4732386
北京 朝阳区 百誉朗克影城 https://maoyan.com/cinema/23901?poi=160306126
北京 朝阳区 枫花园汽车电影院（朝阳公园店） https://maoyan.com/cinema/254?poi=271415
北京 朝阳区 百老汇电影中心（万国城店） https://maoyan.com/cinema/94?poi=1076062
北京 朝阳区 百丽宫影城（国贸店） https://maoyan.com/cinema/23?poi=3281398
北京 朝阳区 卢米埃影城（芳草地店） https://maoyan.com/cinema/5736?poi=332108
北京 朝阳区 金逸影城（双桥店） https://maoyan.com/cinema/1692?poi=1439570
北京 朝阳区 中影星美国际影城（耳东）世贸天阶店 https://maoyan.com/cinema/16773?poi=150027704
北京 朝阳区 UME国际影城（安贞店） https://maoyan.com/cinema/99?poi=94496
北京 朝阳区 大地影院（垡头永辉店） https://maoyan.com/cinema/10954?poi=41877507
北京 朝阳区 金泉港IMAX国际影城 https://maoyan.com/cinema/23617?poi=158732678
北京 朝阳区 金鸡百花影城 https://maoyan.com/cinema/256?poi=89000
北京 朝阳区 泰禾影城（立水桥店） https://maoyan.com/cinema/23967?poi=160457446
北京 朝阳区 艾米·1895电影街 https://maoyan.com/cinema/13640?poi=42853106
北京 朝阳区 UME国际影城（双井店） https://maoyan.com/cinema/135?poi=291070
北京 朝阳区 红星太平洋影城太阳宫店 https://maoyan.com/cinema/7619?poi=5948789
北京 朝阳区 CGV星星影城（颐堤港店） https://maoyan.com/cinema/8?poi=1466992
北京 朝阳区 东都影城 https://maoyan.com/cinema/262?poi=30903
北京 朝阳区 珠影耳东传奇影城 https://maoyan.com/cinema/132?poi=297916
北京 朝阳区 新影联东环影城 https://maoyan.com/cinema/265?poi=43786
北京 朝阳区 新影联·华谊兄弟影院（望京店） https://maoyan.com/cinema/72?poi=82583
北京 朝阳区 万达影城（CBD店） https://maoyan.com/cinema/264?poi=30863
北京 朝阳区 保利国际影城（华贸天地店） https://maoyan.com/cinema/2603?poi=361205
北京 朝阳区 中国木偶艺术剧院 https://maoyan.com/cinema/252?poi=82596
北京 朝阳区 美嘉欢乐影城（三里屯店） https://maoyan.com/cinema/136?poi=30915
北京 朝阳区 北京东融国际影城（西直河店） https://maoyan.com/cinema/15415?poi=91811925
北京 朝阳区 耀莱成龙影城（慈云寺店） https://maoyan.com/cinema/9730?poi=4230363
北京 朝阳区 星环影城（立水桥店） https://maoyan.com/cinema/9914?poi=3260787
北京 朝阳区 大地影院（望京新天地店） https://maoyan.com/cinema/7881?poi=4036242
北京 朝阳区 卢米埃影城（长楹天街IMAX店） https://maoyan.com/cinema/13204?poi=52539636
北京 朝阳区 完美世界影城（17.5比如店） https://maoyan.com/cinema/48?poi=75603
北京 朝阳区 米高MG影城 https://maoyan.com/cinema/16813?poi=150108303
北京 朝阳区 嘉华国际影城（活力东方店） https://maoyan.com/cinema/5987?poi=2578227
北京 朝阳区 沃美影城（常营店） https://maoyan.com/cinema/8065?poi=5529977
北京 朝阳区 金逸影城（朝阳大悦城IMAX店） https://maoyan.com/cinema/88?poi=1548100
北京 朝阳区 K酷国际影城 https://maoyan.com/cinema/21?poi=796845
北京 朝阳区 米瑞酷影城（日坛店） https://maoyan.com/cinema/16179?poi=108119917
北京 朝阳区 奥兰环球影城（望京店） https://maoyan.com/cinema/16421?poi=106343887
北京 朝阳区 保利国际影城（中国科技馆店） https://maoyan.com/cinema/40?poi=61574
北京 朝阳区 博纳国际影城（悠唐店） https://maoyan.com/cinema/116?poi=63
北京 朝阳区 万达影城（望京保利光魔店） https://maoyan.com/cinema/39?poi=1107541
北京 朝阳区 CGV星星影城（奥体店） https://maoyan.com/cinema/65?poi=360511
北京 朝阳区 朝阳剧场 https://maoyan.com/cinema/249?poi=82595
北京 朝阳区 大地影院（十里河铭泽影院） https://maoyan.com/cinema/10951?poi=40086376
北京 朝阳区 保利国际影城（东坝店） https://maoyan.com/cinema/14430?poi=73452594
北京 朝阳区 北京剧院 https://maoyan.com/cinema/248?poi=82597
北京 朝阳区 活力天宝国际影城 https://maoyan.com/cinema/31?poi=1098864
北京 朝阳区 三克影院（三里屯盈科店） https://maoyan.com/cinema/23886?poi=160246406
北京 朝阳区 中影CFR国际影城（望京商业中心店） https://maoyan.com/cinema/26332?poi=190314402
北京 朝阳区 乐开花影院 https://maoyan.com/cinema/25386?poi=177550607
北京 朝阳区 元影城 https://maoyan.com/cinema/25270?poi=170567772
北京 朝阳区 华夏影城（环宇荟店） https://maoyan.com/cinema/25196?poi=164780255
北京 朝阳区 博纳国际影城（亚运村店） https://maoyan.com/cinema/25987?poi=187546094
北京 朝阳区 奥兰环球影城（方恒购物中心一店） https://maoyan.com/cinema/26198?poi=189708612
北京 朝阳区 奥兰环球影城（方恒购物中心二店） https://maoyan.com/cinema/26197?poi=189720568
北京 朝阳区 完美云太狼影城 https://maoyan.com/cinema/26229?poi=189785406
北京 朝阳区 寰映影城（合生汇店） https://maoyan.com/cinema/24573?poi=164888633
北京 朝阳区 新影联东申影城（贵友店） https://maoyan.com/cinema/25417?poi=165629018
北京 朝阳区 比高电影城（来广营） https://maoyan.com/cinema/25139?poi=165807827
北京 朝阳区 耀莱私影（华贸店） https://maoyan.com/cinema/23993?poi=161066185
北京 朝阳区 苏宁影城（慈云寺店） https://maoyan.com/cinema/26867?poi=191486037
北京 朝阳区 英皇电影城（英皇集团中心店） https://maoyan.com/cinema/25274?poi=170577418
北京 朝阳区 观华全色彩激光影城（盒马鲜生店） https://maoyan.com/cinema/26958?poi=191800575
北京 朝阳区 魔影国际影城（达美店） https://maoyan.com/cinema/27451?poi=195606770
北京 朝阳区 鲁信影城（立水桥店） https://maoyan.com/cinema/1732?poi=1541423
北京 朝阳区 劲松电影院 https://maoyan.com/cinema/236?poi=82588
北京 朝阳区 橙天嘉禾影城（凤凰城店） https://maoyan.com/cinema/2081?poi=1465641
北京 朝阳区 完美世界影城（17.5管庄店） https://maoyan.com/cinema/2243?poi=1677952
北京 朝阳区 紫光影城（蓝岛店） https://maoyan.com/cinema/259?poi=3274641
北京 朝阳区 华谊兄弟电影汇 https://maoyan.com/cinema/16467?poi=112208438
北京 朝阳区 明星时代影城（梦秀店） https://maoyan.com/cinema/17139?poi=152364320
北京 朝阳区 曙光影院 https://maoyan.com/cinema/4548?poi=3305306
北京 朝阳区 星美国际影商城（世界城店） https://maoyan.com/cinema/98?poi=316112
北京 朝阳区 中国电影博物馆 https://maoyan.com/cinema/181?poi=1436410
北京 朝阳区 星典影城（亮马桥四季店） https://maoyan.com/cinema/27272?poi=193978484
北京 海淀区 国图影院 https://maoyan.com/cinema/238?poi=271442
北京 海淀区 万画影城（四季青店） https://maoyan.com/cinema/13054?poi=41066531
北京 海淀区 UME国际影城（华星店） https://maoyan.com/cinema/155?poi=1436373
北京 海淀区 嘉华国际影城（学清路店） https://maoyan.com/cinema/70?poi=84440
北京 海淀区 CGV影城（清河店） https://maoyan.com/cinema/5111?poi=2374984
北京 海淀区 美嘉欢乐影城（中关村店） https://maoyan.com/cinema/197?poi=279439
北京 海淀区 中间影院 https://maoyan.com/cinema/9459?poi=4572438
北京 海淀区 天幕新彩云国际影城 https://maoyan.com/cinema/13003?poi=4480546
北京 海淀区 海淀工人文化宫 https://maoyan.com/cinema/141?poi=38025
北京 海淀区 海淀剧院 https://maoyan.com/cinema/257?poi=17899
北京 海淀区 耀莱成龙影城（五棵松店） https://maoyan.com/cinema/87?poi=335220
北京 海淀区 博纳国际影城（万寿路店） https://maoyan.com/cinema/1624?poi=1460949
北京 海淀区 耀莱成龙影城（温泉镇店） https://maoyan.com/cinema/16285?poi=116256540
北京 海淀区 金逸影城（中关村店） https://maoyan.com/cinema/152?poi=276722
北京 海淀区 新华国际影城（宝盛店） https://maoyan.com/cinema/5359?poi=2408760
北京 海淀区 万画影城（田村店） https://maoyan.com/cinema/16821?poi=97764971
北京 海淀区 太平洋影城（北京中关村店） https://maoyan.com/cinema/17421?poi=158401435
北京 海淀区 新华国际影城（大钟寺店） https://maoyan.com/cinema/1589?poi=1524564
北京 海淀区 中影国际影城小西天中国巨幕头等舱 https://maoyan.com/cinema/9916?poi=82594
北京 海淀区 英嘉星美影城（原星美金源IMAX店） https://maoyan.com/cinema/271?poi=271447
北京 海淀区 橙天嘉禾影城（吉彩店） https://maoyan.com/cinema/5313?poi=2393106
北京 海淀区 1+x电影生活空间今典花园店（原17.5影城） https://maoyan.com/cinema/154?poi=273950
北京 海淀区 大地影院（西三旗物美店） https://maoyan.com/cinema/7433?poi=4845675
北京 海淀区 魔影国际影城（金源店） https://maoyan.com/cinema/17304?poi=156803662
北京 海淀区 东融国际影城（西小口店） https://maoyan.com/cinema/25045?poi=165628440
北京 海淀区 华联影城（肖家河店） https://maoyan.com/cinema/25172?poi=166727606
北京 海淀区 深影国际影城（学院南路店） https://maoyan.com/cinema/25958?poi=186965947
北京 海淀区 耀莱成龙影城（玉泉山店） https://maoyan.com/cinema/26808?poi=191417722
北京 海淀区 橙天嘉禾影城（万柳店） https://maoyan.com/cinema/86?poi=3303603
北京 海淀区 金逸影城（新都店） https://maoyan.com/cinema/58?poi=1549060
北京 海淀区 完美世界影城（17.5四道口店） https://maoyan.com/cinema/25?poi=48958
北京 海淀区 中国电影资料馆 https://maoyan.com/cinema/2010?poi=1541424
北京 海淀区 华影国际影城（花园路店） https://maoyan.com/cinema/7985?poi=4744457
北京 海淀区 橙天嘉禾影城（上地店） https://maoyan.com/cinema/130?poi=14447
北京 丰台区 万达影城（京港城店） https://maoyan.com/cinema/17280?poi=156648558
北京 丰台区 华谊兄弟影院（IMAX洋桥店） https://maoyan.com/cinema/2548?poi=1547150
北京 丰台区 大地影院（大红门合生广场店） https://maoyan.com/cinema/15070?poi=78978010
北京 丰台区 保利国际影城（凯德MALL·大峡谷店） https://maoyan.com/cinema/42?poi=339944
北京 丰台区 中影国际影城（丰台千禧街店） https://maoyan.com/cinema/7634?poi=6458108
北京 丰台区 星美国际影商城（分钟寺店） https://maoyan.com/cinema/9?poi=1436294
北京 丰台区 中影国际影城（石榴中心店） https://maoyan.com/cinema/16832?poi=150259374
北京 丰台区 恒业影城北京IMAX店 https://maoyan.com/cinema/16638?poi=133660718
北京 丰台区 正华影城 https://maoyan.com/cinema/63?poi=82600
北京 丰台区 青少年剧场 https://maoyan.com/cinema/4542?poi=271414
北京 丰台区 莱纳恒泰影城 https://maoyan.com/cinema/16683?poi=125611088
北京 丰台区 万达影城（丰台店） https://maoyan.com/cinema/16655?poi=122443680
北京 丰台区 博纳国际影城（方庄店） https://maoyan.com/cinema/43?poi=82556
北京 丰台区 中影国际影城（丰台永旺店） https://maoyan.com/cinema/14384?poi=77423086
北京 丰台区 万达影城（西铁营万达广场店） https://maoyan.com/cinema/24580?poi=164912365
北京 丰台区 中影千人影城（丰台集美广场店） https://maoyan.com/cinema/27000?poi=192352126
北京 丰台区 华联影院（公益西桥店） https://maoyan.com/cinema/25866?poi=185252000
北京 丰台区 星典影城（六里桥店） https://maoyan.com/cinema/24963?poi=165605811
北京 丰台区 耀莱成龙影城（丽泽桥店） https://maoyan.com/cinema/25288?poi=170668636
北京 丰台区 耀莱成龙影城（花乡店） https://maoyan.com/cinema/24263?poi=163970546
北京 丰台区 自由人影城（世界之花假日广场店） https://maoyan.com/cinema/25290?poi=170879964
北京 丰台区 万达影城（槐房店） https://maoyan.com/cinema/16657?poi=131412291
北京 丰台区 东融国际影城（草桥店） https://maoyan.com/cinema/16458?poi=113165716
北京 丰台区 DMG国际影城（悦秀店） https://maoyan.com/cinema/15859?poi=94444126
北京 丰台区 幸福蓝海国际影城（北京公益桥店） https://maoyan.com/cinema/8578?poi=5161700
